Step,PPO_v0,PPO_v1,PPO_v2,Mean,CI_lower,CI_upper
200,-17.66724968,-17.1002636,-16.86853027,-17.212014516666667,-17.463649948275748,-16.960379085057586
400,-12.1639576,-13.72975445,-18.96442604,-14.952712696666666,-17.133593789167744,-12.771831604165586
600,-8.668619156,-15.492136,-12.79782009,-12.319525082,-14.424133428827526,-10.214916735172475
800,-7.166361332,-13.6773243,-9.621880531,-10.155188721,-12.168718542464752,-8.141658899535248
1000,-6.256119251,-10.89479828,-7.052288055,-8.067735195333334,-9.586700976872224,-6.548769413794444
1200,-4.712385178,-7.635842323,-0.515066981,-4.2877648273333335,-6.479646484676435,-2.095883169990232
1400,-5.510345936,-4.358644009,1.325406194,-2.847861250333333,-5.088987518832047,-0.6067349818346188
1600,-4.490302563,-1.099629879,1.654231429,-1.3119003376666667,-3.1966369129698116,0.572836237636478
1800,-4.424701691,0.877075434,0.287333041,-1.0867644053333334,-2.8661587561035793,0.6926299454369125
2000,-3.135686874,3.814108849,-1.980359435,-0.4339791533333333,-2.7144712161486355,1.8465129094819688
2200,-1.397895217,5.026026249,-1.112792492,0.8384461799999999,-1.3840685288938328,3.060960888893833
2400,-1.722072244,5.745527267,-2.369996309,0.5511529046666669,-2.210714341456254,3.313020150789588
2600,-0.485438675,6.304179192,-1.388216496,1.4768413403333334,-1.0981206738857154,4.051803354552382
2800,-2.486203671,7.510652065,-0.064073741,1.6534582176666668,-1.540092989847867,4.8470094251812
3000,-1.09558773,8.220504761,-0.625074267,2.166614254666667,-1.0471766392808979,5.380405148614232
3200,0.660933197,6.988757133,1.310212135,2.9866341550000004,0.8548978879125366,5.118370422087464
3400,-1.663297415,4.187819481,2.217656851,1.5807263056666667,-0.24237057420026886,3.4038231855336023
3600,0.585987031,4.627819538,1.048052192,2.0872862536666665,0.7325573029365813,3.4420152043967516
3800,0.051847171,6.451908588,3.577419043,3.3603916006666665,1.397403869707745,5.323379331625588
4000,1.561703682,7.445126534,3.909642458,4.305490891333334,2.491876947385197,6.119104835281471
4200,0.940081954,5.685152531,0.70166713,2.4423005383333334,0.7209699637669189,4.163631112899748
4400,0.110031709,6.120025635,0.668025255,2.2993608663333336,0.2659571322667498,4.332764600399917
4600,0.237524167,7.000025749,1.830602646,3.0227175206666668,0.8577657038726452,5.187669337460688
4800,0.889025509,5.240901947,0.424863368,2.1849302746666663,0.5580370963361538,3.811823452997179
5000,-0.355747223,6.097028732,0.494772494,2.078684667666667,-0.0682168244645216,4.225586159797855
5200,0.579391479,6.537028313,-2.144821167,1.6571995416666667,-1.0618223594477347,4.376221442781068
5400,0.630864024,6.97702837,-1.443454742,2.0548125506666666,-0.6317411907567534,4.7413662920900865
5600,0.666522145,7.416152477,-1.526119232,2.185518463333333,-0.6685292012166228,5.039566127883289
5800,2.627459764,6.522007465,1.386674881,3.5120473699999994,1.87118841678491,5.152906323215089
6000,1.285026312,6.923590183,2.298703909,3.5024401346666667,1.6617453296161404,5.343134939717193
6200,2.617577791,5.139742851,0.29921335,2.685511330666667,1.202970097655983,4.168052563677351
6400,1.367052555,6.497760773,0.876322925,2.9137120843333335,1.0070535892997503,4.820370579366917
6600,0.00782877,6.497735023,-0.302124321,2.067813157333333,-0.2834237669994377,4.419050081666104
6800,-0.667902231,7.885126591,-1.055648327,2.0538586776666663,-1.0409162050920147,5.148633560425347
7000,1.036060214,10.07999992,-1.465153694,3.216968813333334,-0.502401835632309,6.936339462298977
7200,1.423338056,7.440000057,-0.380598158,2.827579985,0.3198897636643463,5.335270206335654
7400,3.256291151,10.07999992,0.786510348,4.707600473,1.7598071563406146,7.655393789659386
