Step,A2C_v0,A2C_v1,A2C_v2,Mean,CI_lower,CI_upper
800,-10.50369072,-8.061963081,-11.25253677,-9.939396857,-10.961116141300861,-8.917677572699139
1600,-2.553853273,-3.219871759,-2.421808481,-2.731844504333333,-2.993798871361276,-2.46989013730539
2400,-1.748471856,-1.324695349,2.169949055,-0.30107271666666663,-1.617938039935711,1.0157926066023777
3200,-1.914611936,2.533288002,2.701216221,1.1066307623333334,-0.4964499304296477,2.7097114550963144
4000,3.816398859,0.605560184,2.093348742,2.171769261666667,1.187775438773034,3.1557630845602995
4800,1.750298142,3.266102791,3.951654673,2.9893518686666667,2.2995323409358566,3.679171396397477
5600,1.752639651,4.692811489,1.650076509,2.6985092163333335,1.6404046080365908,3.756613824630076
6400,-0.763049185,2.580143452,2.90875268,1.5752823156666669,0.331119696456579,2.8194449348767545
7200,-3.34445405,2.026396513,5.670181751,1.4507080713333333,-1.3262829402587923,4.227699082925459
8000,1.34081471,2.774121046,2.205028057,2.106654604333333,1.6647058946339177,2.548603314032748
8800,2.964361668,3.627899647,0.032910898,2.2083907376666665,1.0369164962739665,3.3798649790593664
9600,1.498590946,1.586468935,2.281279087,1.7887796560000002,1.5262100920822899,2.051349219917711
10400,2.948528767,3.18637538,3.581085443,3.2386631966666664,3.0430080482707567,3.434318345062576
11200,6.668083191,1.128587365,8.051930428,5.282866994666667,3.0393523642595244,7.5263816250738085
12000,-0.745339394,0.782393932,5.609836102,1.88229688,-0.14911923020834927,3.9137129902083494
12800,3.902769566,0.937596917,2.081259966,2.3072088163333335,1.3914403128716972,3.22297731979497
13600,2.46109581,4.063956738,-1.644747853,1.6267682316666665,-0.17629207387657275,3.4298285372099055
14400,-2.496732235,6.86184454,4.193397522,2.852836609,-0.0995078503549256,5.805181068354926
15200,3.41544795,1.206969142,0.37225467,1.6648905873333335,0.7019798881188202,2.6278012865478466
16000,1.055294394,3.321268082,3.754600048,2.710387508,1.8226704795647652,3.598104536435235
16800,0.704270601,-0.580388606,-0.02321779,0.03355473500000002,-0.3609408254448982,0.4280502954448982
17600,2.953570604,5.076158047,-0.18049553,2.616411040333333,0.9969945788020897,4.235827501864576
18400,4.560830593,3.478879929,1.631729484,3.223813335333334,2.316819147351032,4.130807523315635
19200,1.444621325,-1.147085309,2.696061611,0.9978658756666667,-0.20246804440643396,2.198199795739767
20000,-1.150989175,1.912406325,-1.627222419,-0.28860175633333335,-1.464935088595656,0.8877315759289892
20800,-0.494946182,4.610391617,2.179570436,2.098338623666667,0.5345610500517635,3.66211619728157
21600,-1.010163426,0.396056175,1.192233801,0.19270884999999996,-0.49020338465560087,0.8756210846556007
22400,-0.928738415,-2.383489847,-1.050711274,-1.4543131786666665,-1.948496711873625,-0.9601296454597081
23200,-1.454269171,0.246187642,0.112660423,-0.3651403686666667,-0.9441832882570997,0.21390255092376637
24000,1.966824651,3.399652481,0.590185046,1.9855540593333334,1.125276507435017,2.8458316112316497
24800,1.853085399,-2.199333191,2.867558241,0.8404368163333332,-0.8012970300811867,2.482170662747853
25600,3.071598768,0.5870803,6.848672867,3.5024506449999997,1.5716693549149552,5.433231935085044
26400,3.919101,0.536564946,2.586681843,2.347449263,1.3040213109497814,3.390877215050219
27200,0.932097077,3.060216665,1.053480864,1.681931535333333,0.9500411926422779,2.4138218780243883
28000,2.570126772,6.427018166,2.006183863,3.6677762670000003,2.1943148074534626,5.141237726546538
28800,1.948960662,2.622665644,3.719358683,2.763661663,2.2164572235235713,3.310866102476429
29600,-0.319865078,0.898432434,1.352686882,0.6437514126666667,0.11412737206256596,1.1733754532707674
