Step,RecurrentPPO_v0,RecurrentPPO_v1,RecurrentPPO_v2,Mean,CI_lower,CI_upper
800,-11.6291132,-7.689238548,-11.25253677,-10.190296172666669,-11.521684458911803,-8.858907886421534
1600,-8.836233139,-6.464217663,-3.319868326,-6.206773042666666,-7.901317061746365,-4.512229023586967
2400,-5.632844925,-1.754205942,-1.427319527,-2.9381234646666665,-4.370715934674753,-1.5055309946585795
3200,-0.719510078,0.913142264,-0.160824999,0.010935728999999996,-0.4971912463547729,0.5190627043547729
4000,-2.724197865,1.515112996,-0.459152818,-0.556079229,-1.855115197166897,0.7429567391668971
4800,3.466573,1.79266417,-2.563863993,0.8984577256666665,-1.0079046272962207,2.804820078629554
5600,-4.556893826,3.28889823,-3.894195795,-1.7207304636666665,-4.385224569475906,0.9437636421425735
6400,2.14345932,-0.254852563,-2.741084337,-0.28415919333333345,-1.7798198972390773,1.2115015105724105
7200,-2.504231691,-2.29595089,3.459385157,-0.4469324746666666,-2.519551587885983,1.6256866385526496
8000,-0.69751966,4.181603432,1.577071667,1.687051813,0.19199342018875765,3.1821102058112425
8800,-0.736325443,2.227859735,1.77292347,1.0881525873333333,0.1106017292548791,2.0657034454117875
9600,1.391296744,-0.23560679,3.355922937,1.5038709636666665,0.40257465456406805,2.6051672727692647
10400,4.191337585,-0.210585669,2.539055109,2.1732690083333335,0.8115722239260275,3.5349657927406395
11200,3.621194363,3.123728752,2.436703682,3.0605422656666668,2.6963227530173617,3.424761778315972
12000,2.547839642,3.404093027,1.046439052,2.3327905736666668,1.6019560396915669,3.0636251076417667
12800,4.039404392,-1.493879318,1.43270123,1.3260754346666666,-0.36908318059003387,3.021234049923367
13600,-1.104964852,2.483670235,-0.752665102,0.20868009366666665,-1.0026281689932899,1.4199883563266231
14400,-1.485230446,1.367659569,1.093333364,0.3252541623333333,-0.6385672561189568,1.2890755807856233
15200,-2.537268877,2.320187807,0.572721362,0.11854676400000004,-1.3881168451877928,1.6252103731877927
16000,1.668737292,1.773171663,2.873876572,2.1052618423333334,1.6963900318335612,2.5141336528331055
16800,3.256157398,0.50981462,2.823558331,2.1965101163333336,1.2922510768694577,3.1007691557972095
17600,2.063086033,1.702909231,-0.377830982,1.129388094,0.3224926919802137,1.9362834960197866
18400,0.934171677,2.30622077,-1.788256288,0.4840453863333334,-0.7921519709723595,1.7602427436390262
19200,0.665059388,2.807887316,2.497479439,1.9901420476666667,1.281012835955779,2.6992712593775545
20000,-0.984434724,0.662610829,0.998642147,0.225606084,-0.42431073647729467,0.8755229044772947
20800,3.633952618,4.879299164,4.014079094,4.175776958666667,3.7849453191688265,4.566608598164507
21600,0.222194135,9.05757618,6.69093132,5.323567211666667,2.522791152439123,8.124343270894212
22400,-0.832363486,1.832159519,2.762085199,1.2539604106666666,0.11147118851848914,2.396449632814844
23200,1.765715361,6.362855434,-0.419179916,2.5697969596666668,0.449899147994941,4.6896947713383925
24000,0.860437393,-0.221921623,-1.724999189,-0.3621611396666667,-1.1572721982802117,0.43294991894687834
24800,1.179778218,1.531213284,0.492738426,1.067909976,0.7444559305677363,1.3913640214322636
25600,4.438618183,1.561017871,2.135159731,2.711598595,1.7789899126230804,3.6442072773769194
26400,1.065986991,4.028360844,2.228224277,2.4408573706666665,1.5268365143073437,3.3548782270259894
27200,4.421873093,0.514684379,0.891356826,1.9426380993333334,0.6227765798290705,3.2624996188375963
28000,-0.145335838,0.775605261,-2.085762262,-0.4851642796666666,-1.3796198164481188,0.4092912571147857
28800,3.219941616,-0.553067088,-0.497591227,0.7230944336666666,-0.6011676884790297,2.047356555812363
29600,5.384490013,4.868163586,3.180517197,4.477723598666667,3.771844736573889,5.1836024607594435
30400,3.258096933,1.922962785,4.196552277,3.1258706650000003,2.426205977275825,3.8255353527241756
31200,2.544624567,,,2.544624567,,
32000,2.810821295,,,2.810821295,,
32800,4.123544693,,,4.123544693,,
33600,5.902433395,,,5.902433395,,
34400,4.234871864,,,4.234871864,,
35200,3.934165716,,,3.934165716,,
36000,2.458777666,,,2.458777666,,
36800,4.793787003,,,4.793787003,,
37600,0.068340227,,,0.068340227,,
38400,3.367756605,,,3.367756605,,
39200,5.81593895,,,5.81593895,,
40000,2.445100546,,,2.445100546,,
40800,-1.953197837,,,-1.953197837,,
41600,1.639238238,,,1.639238238,,
42400,1.210456014,,,1.210456014,,
43200,-0.196311712,,,-0.196311712,,
44000,5.746649265,,,5.746649265,,
44800,1.375290155,,,1.375290155,,
45600,5.819627285,,,5.819627285,,
46400,-0.792901993,,,-0.792901993,,
47200,5.404474735,,,5.404474735,,
48000,0.489493668,,,0.489493668,,
48800,2.663205862,,,2.663205862,,
49600,5.283377171,,,5.283377171,,
50400,2.095754862,,,2.095754862,,
51200,3.165379524,,,3.165379524,,
52000,1.384174109,,,1.384174109,,
52800,2.05561161,,,2.05561161,,
53600,-1.883456469,,,-1.883456469,,
54400,1.550602794,,,1.550602794,,
55200,2.729530096,,,2.729530096,,
56000,4.86464119,,,4.86464119,,
56800,1.111276269,,,1.111276269,,
57600,0.853545845,,,0.853545845,,
58400,3.281921387,,,3.281921387,,
59200,3.615362883,,,3.615362883,,
60000,3.5992167,,,3.5992167,,
60800,0.866726577,,,0.866726577,,
61600,-2.198034763,,,-2.198034763,,
62400,-0.741479993,,,-0.741479993,,
63200,-0.307583809,,,-0.307583809,,
64000,-1.989807367,,,-1.989807367,,
64800,4.720613003,,,4.720613003,,
65600,0.568040431,,,0.568040431,,
66400,-0.327039361,,,-0.327039361,,
67200,5.877345562,,,5.877345562,,
68000,3.198164463,,,3.198164463,,
68800,0.353606999,,,0.353606999,,
69600,3.904357672,,,3.904357672,,
70400,2.80204463,,,2.80204463,,
71200,-0.842876196,,,-0.842876196,,
72000,4.312892437,,,4.312892437,,
72800,6.651115417,,,6.651115417,,
73600,6.966238022,,,6.966238022,,
74400,2.185012579,,,2.185012579,,
75200,-3.182207346,,,-3.182207346,,
76000,2.518398285,,,2.518398285,,
